,Unnamed: 0,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
4975,4975,蓋倫,庫奇,2,0.5738000000000001,0.718,0.5681818181818182,0.4663677130044843,0.3942022538552787
4976,4976,蓋倫,弗力貝爾,0,0.519,0.4945000000000001,0.4953271028037383,0.4881578947368421,0.5278013943206937
4977,4977,蓋倫,弗拉迪米爾,0,0.527,0.6618,0.5464601769911506,0.5048275862068966,0.4570209888423626
4978,4978,蓋倫,弗拉迪米爾,2,0.5364,0.6842,0.5725190839694656,0.4831460674157304,0.4555977229601518
4979,4979,蓋倫,悟空,0,0.5286,0.5465,0.513126491646778,0.491480996068152,0.5151003677135452
4980,4980,蓋倫,慎,0,0.4873,0.6754000000000001,0.4288389513108614,0.4576877234803337,0.5349053876056157
4981,4981,蓋倫,慨影,0,0.5343,0.6327,0.5821256038647342,0.5225464190981431,0.5458666380558983
4982,4982,蓋倫,提摩,0,0.4715,0.4971,0.5785536159600997,0.503003003003003,0.3607001130062285
4983,4983,蓋倫,易大師,0,0.5556,0.6102000000000001,0.6492537313432836,0.5227848101265823,0.4978631911448517
4984,4984,蓋倫,星朵拉,2,0.5062,0.4833,0.4978813559322034,0.4673659673659673,0.4054435707165799
4985,4985,蓋倫,札克,0,0.5645,0.5609000000000001,0.4653465346534653,0.4657701711491442,0.5464824750539036
4986,4986,蓋倫,李星,1,0.4667,,0.4224806201550388,0.43400211193241817,0.4940643062333437
4987,4987,蓋倫,杰西,0,0.5128,0.6143,0.5535714285714285,0.4826700898587933,0.4187166363986572
4988,4988,蓋倫,歐拉夫,0,0.5182,0.4489,0.5644329896907216,0.5067750677506775,0.465700202957379
4989,4989,蓋倫,汎,0,0.4933,0.4451,0.6103896103896104,0.519774011299435,0.3866589495007958
4990,4990,蓋倫,沃維克,0,0.4783,0.48,0.5299760191846523,0.5025974025974026,0.5455452225188488
4991,4991,蓋倫,波比,0,0.456,0.5245000000000001,0.4759825327510918,0.4941634241245137,0.4891237315692101
4992,4992,蓋倫,泰達米爾,0,0.5223,0.465,0.5465994962216625,0.4986149584487534,0.5026328386787937
4993,4993,蓋倫,漢默丁格,0,0.4672,0.4935,0.5849514563106797,0.5162200282087447,0.3651860308235172
4994,4994,蓋倫,潘森,0,0.5674,0.4955,0.5069767441860464,0.4632972322503009,0.4796095574585305
4995,4995,蓋倫,潘森,2,0.5,0.3853,0.46,0.4531914893617021,0.4746027756834492
4996,4996,蓋倫,烏爾加特,0,0.4691,0.532,0.529816513761468,0.4891165172855314,0.4532152596545758
4997,4997,蓋倫,特朗德,0,0.44,0.4474,0.4879807692307692,0.4894217207334274,0.5119157144976999
4998,4998,蓋倫,犽宿,0,0.5571,0.6378,0.6437054631828979,0.5217965653896961,0.5012195813716036
4999,4999,蓋倫,犽宿,2,0.5331,0.6188,0.595132743362832,0.5080645161290323,0.4952666367913959
