,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
1892,0,0.4292,0.5289,0.5482456140350876,0.5420918367346939,0.4680899617130252,0.46950000000000003,0.5651408450704225,0.5349867139061115,0.39830335934849,0.5208,0.5747,0.5440528634361234,0.5147058823529411,0.48350808213193536,0.49729999999999996,0.5217,0.5256410256410257,0.5146750524109015,0.5360757070182156,0.47840000000000005,0.5307,0.425311203319502,0.4833869239013933
1893,0,0.5,0.5,0.5,0.5,0.5,0.5385,0.546,0.4705882352941177,0.42073733869156077,0.5,0.5,0.5,0.5,0.5,0.5172,0.508,0.5631067961165048,0.5140771637122001,0.5309301395326949,0.5241,0.3987,0.5273833671399595,0.5067357512953368
1894,1,0.37079999999999996,0.4183,0.33870967741935487,0.4635083226632523,0.5621313692205887,0.5344,0.5025728987993139,0.47032772364924713,0.5653571141640555,0.5178,0.5966,0.48555956678700357,0.4943705220061413,0.5299514710342735,0.5106,0.4829,0.5447316103379721,0.4914400805639476,0.4895681707908782,0.4781,0.5613,0.5763612217795485,0.5197215777262182
1895,0,0.5706,0.6248,0.6707920792079208,0.5626740947075209,0.5860719440435217,0.516,0.543859649122807,0.4812098991750688,0.35804804236807264,0.5338,0.4545,0.5157384987893462,0.5333333333333333,0.5441214106567027,0.49450000000000005,0.5661,0.574642126789366,0.5207700101317123,0.5040581041762376,0.4904,0.47909999999999997,0.4576271186440678,0.5102533172496984
1896,1,0.48840000000000006,0.5954999999999999,0.5026881720430108,0.5117139334155364,0.4943894564124279,0.4172,0.4698795180722891,0.49497991967871485,0.4420118343195266,0.5317000000000001,0.7568,0.47916666666666663,0.4829787234042553,0.46394448355627077,0.49200000000000005,0.5115999999999999,0.4948024948024947,0.4883966244725738,0.4602457206680693,0.5129,0.5322,0.4991150442477876,0.4640591966173362
1897,1,0.4993,0.4461,0.47149122807017535,0.4994350282485876,0.5963974925278388,0.5247999999999999,0.49323017408123787,0.49074975657254144,0.5763364023636114,0.459,0.3248,0.4797687861271676,0.4895397489539749,0.5035131006932205,0.4794,0.52,0.546,0.5277777777777778,0.5622679550539696,0.5386,0.486,0.5393474088291746,0.5052854122621564
1898,0,0.5843,0.4579,0.49872122762148335,0.49937578027465673,0.48617743151545617,0.4482,0.4806949806949808,0.48870636550308005,0.45222370433028597,0.4685,0.4445,0.37844036697247707,0.45387062566277836,0.505100764419736,0.5208,0.5338,0.5525773195876289,0.5314109165808445,0.5437270341207349,0.4904,0.47909999999999997,0.4576271186440678,0.5102533172496984
1899,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4604,0.3627,0.45175438596491224,0.4921259842519685,0.49938317957519845,0.5,0.5,0.5,0.5,0.5,0.49700000000000005,0.5486,0.5043478260869565,0.5255391600454029
1900,0,0.4962,0.4096,0.44772117962466484,0.47716346153846156,0.5194726910577628,0.5305,0.4348591549295775,0.46501328609388837,0.60169664065151,0.4877,0.43770000000000003,0.49023090586145646,0.5083507306889352,0.5550206163453059,0.5236999999999999,0.5322,0.5592592592592592,0.5295918367346939,0.5106072252113759,0.5255,0.4275,0.5295202952029521,0.5259179265658748
1901,0,0.45780000000000004,0.3834,0.418141592920354,0.48826291079812206,0.5277125007164556,0.4867,0.4686192468619247,0.5075075075075075,0.49427197201574113,0.4662,0.4229,0.37524177949709864,0.47058823529411764,0.5477734445855251,0.5,0.5,0.5,0.5,0.5,0.4675,0.5582,0.47937131630648333,0.49060773480662984
1902,1,0.5659000000000001,0.544,0.547486033519553,0.557356608478803,0.5959864935350152,0.5352,0.5381526104417671,0.5009560229445507,0.460581452005847,0.4765,0.47759999999999997,0.5213178294573643,0.5089005235602094,0.4681238190767221,0.4798,0.41259999999999997,0.43687374749499,0.4664536741214057,0.44368860573140084,0.512,0.4675,0.4948275862068965,0.46500593119810196
1903,1,0.5131,0.502,0.5354523227383863,0.5217391304347826,0.529185932464621,0.5254,0.5160680529300568,0.49038461538461536,0.43011991901572966,0.513,0.4946,0.565377532228361,0.5278330019880716,0.5594617443990418,0.4872,0.4833,0.5270541082164328,0.5114345114345115,0.5532647680577658,0.4718,0.5164,0.6037483266398929,0.5269320843091334
1904,1,0.4768,0.6445000000000001,0.5844504021447721,0.5395590142671856,0.535188573613349,0.5351,0.5337423312883436,0.5020120724346075,0.5222149332061069,0.5215,0.5647,0.46336633663366333,0.5005291005291005,0.540604520196357,0.4961,0.4108,0.4725490196078432,0.4742376445846478,0.4878733073641254,0.5312,0.5915,0.5177664974619289,0.5423242467718795
1905,1,0.49570000000000003,0.5657,0.5582010582010581,0.5249662618083671,0.5116201001910861,0.5022,0.500998003992016,0.5071283095723015,0.4870032601991365,0.45740000000000003,0.5611999999999999,0.4933035714285714,0.48858921161825725,0.49977952609714776,0.45670000000000005,0.4777,0.502970297029703,0.515274949083503,0.5161789351553435,0.4994,0.43450000000000005,0.5213114754098361,0.5534665099882492
1906,0,0.4869,0.4728,0.4267241379310344,0.47800237812128427,0.501446140099231,0.4806,0.501937984496124,0.5066162570888468,0.4566949465142014,0.5235000000000001,0.5224,0.4786821705426357,0.49109947643979057,0.5318761809232779,0.5484,0.5241,0.535645472061657,0.5192307692307692,0.5286110674833778,0.5479,0.4111,0.6322067594433399,0.5498320268756999
1907,0,0.48600000000000004,0.48460000000000003,0.4547619047619047,0.5006418485237484,0.46655196145905026,0.4435,0.45596868884540126,0.4833333333333333,0.4517505812137826,0.5461,0.3772,0.5438972162740899,0.5054824561403509,0.450047664442326,0.5152,0.4675,0.5076045627376425,0.4994882292732856,0.5376034034507209,0.4853,0.6336999999999999,0.5872801082543978,0.5072951739618407
1908,1,0.5474,0.6211,0.6525821596244131,0.5653846153846154,0.5506966061228807,0.5105,0.47261663286004063,0.4882186616399623,0.4806938430397909,0.5178,0.5966,0.48555956678700357,0.4943705220061413,0.5299514710342735,0.4731,0.4269,0.5304347826086957,0.5129265770423992,0.5297781786408862,0.5264,0.3757,0.5627376425855514,0.5335608646188851
1909,1,0.5921000000000001,0.5,0.5668662674650699,0.5319609967497291,0.5513503638522669,0.465,0.44703770197486536,0.48872180451127817,0.601150981719702,0.5079,0.20929999999999999,0.4948024948024947,0.49427679500520294,0.4260991927321204,0.5122,0.5351,0.5028142589118199,0.5123711340206186,0.4702630575676706,0.4692,0.6253,0.39183673469387753,0.5078828828828829
1910,0,0.5271,0.5292,0.578125,0.5368956743002545,0.5304897590536958,0.5383,0.5233968804159446,0.5138516532618409,0.43980571296403376,0.5168,0.5853,0.49367088607594933,0.5020746887966805,0.4684539898215112,0.5039,0.5892000000000001,0.5274509803921569,0.5257623554153523,0.5121266926358746,0.434,0.395,0.41777777777777775,0.4944933920704846
